Developer,Repo Name,Stars
dabreegster,abstreet,"2,875"
google,tsunami-security-scanner,888
labuladong,fucking-algorithm,"45,937"
jwasham,coding-interview-university,"121,311"
s-matyukevich,raspberry-pi-os,"7,707"
forezp,SpringCloudLearning,"13,228"
bradtraversy,ui_components,118
schenkd,nginx-ui,"2,120"
wg,wrk,"25,239"
zhoutaoo,SpringCloud,"4,262"
vt-vl-lab,3d-photo-inpainting,"3,363"
alibaba,hooks,"2,915"
tannerlinsley,react-query,"8,092"
thingsboard,thingsboard,"6,039"
evanw,esbuild,"9,862"
twostraws,wwdc,622
tailwindcss,tailwindcss,"24,363"
spmallick,learnopencv,"10,969"
acidanthera,OpenCorePkg,"3,009"
livewire,livewire,"4,330"
tg-bomze,Face-Depixelizer,"1,186"
macrozheng,mall,"36,645"
PaperMC,Paper,"1,854"
zxystd,itlwm,"1,110"
ant-design,ant-design,"60,969"
